date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer
0.004557,1,0.723404,0.18425,0.617822,0.003467,0.422915,0.414912
0.871643,7,0.787234,0.028131,0.456858,0.00168,0.356033,0.896053
0.894031,2,0.744681,0.147262,0.904641,0.009782,0.838944,0.462719
0.45206,5,0.680851,0.033085,0.515323,0.002212,0.55334,0.422807
0.456396,6,0.170213,0.025399,0.238024,0.001699,0.302952,0.714474
0.898102,4,0.574468,0.066531,0.580036,0.004381,0.598912,0.52193
0.446971,2,0.957447,0.041642,0.493752,0.002538,0.288193,0.765789
0.434096,2,0.978723,0.049658,0.420411,0.003467,0.422915,0.414912
0.442237,5,0.680851,0.054401,0.490628,0.003467,0.422915,0.414912
0.46874,7,0.255319,0.027561,0.212437,0.001843,0.221388,0.667544
0.465466,2,0.574468,0.070434,0.601458,0.004784,0.484723,0.532456
0.438255,6,0.382979,0.063528,0.44332,0.003467,0.422915,0.414912
0.871997,1,0.531915,0.032064,0.523059,0.001695,0.270844,0.902193
0.889916,7,0.425532,0.356011,0.653377,0.023242,0.487053,0.676754
0.469669,7,0.106383,0.024439,0.13374,0.001643,0.214397,0.641228
0.031592,6,0.595745,0.070914,0.301398,0.003467,0.422915,0.414912
0.425114,3,0.340426,0.073316,0.480363,0.003467,0.422915,0.414912
0.451352,3,0.553191,0.03996,0.561589,0.002603,0.627654,0.55
0.469625,6,0.510638,0.055332,0.511752,0.003739,0.540394,0.291667
0.890005,2,0.148936,0.023988,0.17956,0.001554,0.338685,0.700439
0.474492,4,0.744681,0.036117,0.350937,0.002464,0.278612,0.40307
0.009823,1,0.87234,0.041732,0.615144,0.003467,0.422915,0.414912
0.898013,2,0.829787,0.075237,0.755132,0.004952,0.624806,0.626754
0.443432,5,0.425532,0.073526,0.552217,0.005185,0.622993,0.380702
0.424671,7,0.170213,0.070764,0.044778,0.003467,0.422915,0.414912
0.013849,2,0.638298,0.083884,0.482594,0.003467,0.422915,0.414912
0.442901,7,0.0,0.071364,0.498959,0.004828,0.408338,0.496491
0.018274,5,0.531915,0.093821,0.484231,0.003467,0.422915,0.414912
0.880581,5,0.617021,0.037258,0.499405,0.002468,0.477991,0.535088
0.433653,6,0.0,0.046535,0.347664,0.003467,0.422915,0.414912
0.893987,1,0.744681,0.089948,0.69399,0.005837,0.554117,0.665351
0.912438,1,0.595745,0.044464,0.272092,0.002919,0.246763,0.659649
0.451307,2,0.085106,0.038129,0.259893,0.002497,0.375712,0.72193
0.014336,6,0.382979,0.108863,0.572002,0.003467,0.422915,0.414912
0.875802,1,0.106383,0.018014,0.086433,0.000993,0.204816,0.841667
0.000973,3,0.340426,0.044134,0.608152,0.003467,0.422915,0.414912
0.438122,3,0.106383,0.045304,0.234008,0.003467,0.422915,0.414912
0.867307,6,0.638298,0.037829,0.478578,0.002557,0.503107,0.389474
0.014026,6,0.042553,0.041101,0.498066,0.003467,0.422915,0.414912
0.44737,4,0.893617,0.03999,0.662154,0.002707,0.486277,0.612281
0.013849,2,0.978723,0.066471,0.581821,0.003467,0.422915,0.414912
0.017566,3,0.425532,0.099496,0.570217,0.003467,0.422915,0.414912
0.013672,5,0.893617,0.041431,0.455222,0.003467,0.422915,0.414912
0.447281,2,0.702128,0.077609,0.760934,0.005409,0.627395,0.40614
0.031547,5,0.829787,0.057314,0.345582,0.003467,0.422915,0.414912
0.004956,3,0.595745,0.042422,0.491669,0.003467,0.422915,0.414912
0.031945,7,0.234043,0.055242,0.048795,0.003467,0.422915,0.414912
0.899164,7,0.255319,0.070824,0.235347,0.004614,0.302175,0.688158
0.000177,6,0.510638,0.072145,0.354508,0.003467,0.422915,0.414912
0.031282,6,0.021277,0.053981,0.282654,0.003467,0.422915,0.414912
0.460334,5,0.042553,0.042692,0.448974,0.002916,0.467892,0.349123
0.429848,6,0.638298,0.106911,0.50119,0.003467,0.422915,0.414912
0.429185,5,0.425532,0.09157,0.608152,0.003467,0.422915,0.414912
0.876023,6,0.404255,0.032935,0.55787,0.001867,0.537804,0.646491
0.030972,6,0.021277,0.057254,0.271199,0.003467,0.422915,0.414912
0.44737,4,0.914894,0.042152,0.599821,0.002798,0.467374,0.640789
0.45644,7,0.042553,0.035187,0.473669,0.002366,0.462714,0.411404
0.424893,5,0.765957,0.080611,0.331895,0.003467,0.422915,0.414912
0.030751,1,0.617021,0.119491,0.588069,0.003467,0.422915,0.414912
0.880359,7,0.914894,0.03888,0.311663,0.002526,0.269032,0.615351
0.464581,3,0.957447,0.057584,0.468164,0.003972,0.321595,0.346053
0.893854,5,0.553191,0.077729,0.605326,0.005241,0.795961,0.364474
0.911862,2,0.87234,0.041311,0.379054,0.002736,0.408338,0.492544
0.469537,4,0.021277,0.027201,0.32163,0.001809,0.294925,0.626754
0.885049,1,0.851064,0.102048,0.52529,0.006811,0.384516,0.595175
0.871776,3,1.0,0.038759,0.391699,0.001685,0.422061,0.732018
0.447016,3,0.617021,0.044043,0.511901,0.003081,0.576126,0.249123
0.009513,1,0.297872,0.041732,0.577358,0.003467,0.422915,0.414912
0.026547,4,0.617021,0.084965,0.465189,0.003467,0.422915,0.414912
0.022167,2,0.978723,0.057644,0.436477,0.003467,0.422915,0.414912
0.473563,4,0.468085,0.02621,0.512943,0.001732,0.545054,0.380263
0.465289,5,0.574468,0.068212,0.480065,0.004699,0.493009,0.204825
0.867484,3,0.170213,0.022937,0.171824,0.001498,0.261005,0.819737
0.889341,1,0.276596,0.019455,0.164832,0.001244,0.187985,0.845175
0.009247,2,0.106383,0.056443,0.380095,0.003467,0.422915,0.414912
0.004646,3,0.638298,0.140417,0.565308,0.003467,0.422915,0.414912
0.881244,6,0.425532,0.029422,0.560547,0.001996,0.546349,0.458333
0.889518,5,0.12766,0.048937,0.274472,0.002009,0.375453,0.541228
0.026901,5,0.255319,0.109253,0.394972,0.003467,0.422915,0.414912
0.00031,2,0.148936,0.062417,0.167361,0.003467,0.422915,0.414912
0.000531,7,0.553191,0.080731,0.292621,0.003467,0.422915,0.414912
0.460909,4,0.659574,0.072715,0.625409,0.004923,0.431642,0.608333
0.46082,2,0.276596,0.03882,0.432014,0.00268,0.316157,0.266228
0.000885,1,0.148936,0.081122,0.144749,0.003467,0.422915,0.414912
0.001018,4,0.06383,0.077999,0.39155,0.003467,0.422915,0.414912
0.451661,3,0.148936,0.033145,0.294258,0.002073,0.32522,0.838158
0.429627,1,0.021277,0.056593,0.215412,0.003467,0.422915,0.414912
0.022521,3,0.468085,0.089618,0.518447,0.003467,0.422915,0.414912
0.867749,2,0.659574,0.027771,0.574234,0.001741,0.561626,0.741228
0.461086,1,0.06383,0.030173,0.202916,0.002059,0.301916,0.421053
0.911508,1,0.914894,0.038669,0.339036,0.002457,0.264889,0.783772
0.877129,3,0.106383,0.034226,0.216751,0.002258,0.261523,0.492982
0.433476,2,0.021277,0.049838,0.297084,0.003467,0.422915,0.414912
0.871776,3,0.085106,0.019305,0.158137,0.000989,0.29622,0.820614
0.433521,3,0.404255,0.075327,0.523059,0.003467,0.422915,0.414912
0.889651,1,0.702128,0.028071,0.409997,0.001346,0.320559,0.563158
0.868015,1,0.361702,0.031824,0.346177,0.000839,0.199637,0.858333
0.438122,3,0.617021,0.067942,0.442279,0.003467,0.422915,0.414912
0.429715,3,0.510638,0.09259,0.623029,0.003467,0.422915,0.414912
0.915756,6,0.297872,0.09256,0.523505,0.00635,0.562144,0.294298
0.911376,5,0.276596,0.116759,0.483338,0.007759,0.62144,0.470175
0.429273,7,0.106383,0.055242,0.095805,0.003467,0.422915,0.414912
0.000619,2,0.914894,0.122703,0.440345,0.003467,0.422915,0.414912
0.893943,7,0.276596,0.042422,0.340226,0.001872,0.337649,0.794298
0.455953,3,0.744681,0.067011,0.727908,0.004508,0.685655,0.349123
0.442591,7,0.148936,0.043473,0.180006,0.00284,0.25479,0.500526
0.867351,7,0.148936,0.021016,0.099375,0.000877,0.174262,0.902632
0.867926,6,0.06383,0.027021,0.235049,0.00085,0.341015,0.727193
0.026326,6,0.617021,0.071364,0.282952,0.003467,0.422915,0.414912
0.004779,6,0.234043,0.067191,0.195478,0.003467,0.422915,0.414912
0.876687,7,0.723404,0.029813,0.469652,0.00189,0.376748,0.65307
0.893722,2,0.510638,0.063168,0.583011,0.004256,0.58985,0.421053
0.91142,6,0.723404,0.043473,0.439601,0.002879,0.501554,0.47193
0.907305,3,0.978723,0.082112,0.446296,0.00585,0.520715,0.399123
0.898589,1,0.170213,0.024168,0.140583,0.001581,0.268255,0.642544
0.429715,3,0.021277,0.049838,0.300803,0.003467,0.422915,0.414912
0.443122,5,0.021277,0.047226,0.448527,0.003182,0.38581,0.552193
0.893589,6,0.340426,0.140387,0.800803,0.00913,0.647592,0.615789
0.907393,5,0.489362,0.090849,0.487801,0.00628,0.556189,0.291228
0.469271,5,0.893617,0.045635,0.431122,0.003041,0.313309,0.565789
0.8762,3,0.0,0.030113,0.342755,0.000827,0.268773,0.786842
0.902748,5,0.021277,0.068512,0.45909,0.004132,0.453651,0.637719
0.907703,5,0.425532,0.050739,0.529456,0.00345,0.564215,0.435088
0.456042,5,0.106383,0.03999,0.362541,0.002705,0.389436,0.664912
0.027521,5,0.404255,0.067221,0.519042,0.003467,0.422915,0.414912
0.022919,5,0.234043,0.060736,0.198155,0.003467,0.422915,0.414912
0.898102,4,0.808511,0.073946,0.739512,0.004879,0.669342,0.548684
0.451484,6,0.893617,0.043383,0.628831,0.002929,0.510616,0.592544
0.005088,6,0.404255,0.075357,0.571705,0.003467,0.422915,0.414912
0.004469,6,0.957447,0.063648,0.435138,0.003467,0.422915,0.414912
0.446617,1,1.0,0.037138,0.425022,0.002447,0.416882,0.602193
0.425689,2,0.085106,0.055242,0.116186,0.003467,0.422915,0.414912
0.022742,1,0.659574,0.088117,0.423981,0.003467,0.422915,0.414912
0.912438,1,0.978723,0.046836,0.309878,0.003105,0.343345,0.561842
0.897925,7,0.446809,0.087486,0.634335,0.00527,0.452874,0.835526
0.894164,5,0.0,0.075087,0.605326,0.004676,0.518902,0.679825
0.907482,7,0.021277,0.075027,0.408509,0.005114,0.383739,0.46886
0.456086,6,0.234043,0.032905,0.336656,0.002214,0.306836,0.704825
0.885226,5,0.170213,0.042422,0.189527,0.002763,0.252719,0.661842
0.893854,5,0.12766,0.043653,0.307944,0.00284,0.412998,0.673684
0.446927,1,0.659574,0.041852,0.300803,0.000976,0.241067,0.590351
0.889872,6,0.489362,0.050318,0.652336,0.003517,0.702745,0.269737
0.42945,4,0.319149,0.084544,0.533323,0.003467,0.422915,0.414912
0.911774,7,0.106383,0.043713,0.146534,0.002867,0.291041,0.638158
0.906774,5,0.276596,0.049628,0.370277,0.003342,0.300363,0.548684
0.880315,6,0.382979,0.044914,0.541803,0.003135,0.524081,0.204825
0.867395,1,0.808511,0.028732,0.340672,0.00189,0.361989,0.792105
0.881377,2,0.723404,0.030383,0.521125,0.002117,0.595546,0.305263
0.433698,7,0.765957,0.047436,0.3313,0.003467,0.422915,0.414912
0.460865,3,0.531915,0.104179,0.534365,0.007194,0.451579,0.285965
0.872439,4,0.787234,0.044824,0.598631,0.002991,0.626618,0.415789
0.446971,2,0.808511,0.076768,0.667807,0.005307,0.405748,0.478509
0.894164,5,0.106383,0.062748,0.39884,0.004111,0.483169,0.704825
0.443255,1,0.468085,0.043263,0.380542,0.002813,0.233299,0.730702
0.473342,6,0.574468,0.063798,0.572746,0.004441,0.524858,0.086842
0.908101,7,0.021277,0.05302,0.354805,0.003552,0.348783,0.521491
0.02699,7,0.531915,0.091209,0.312258,0.003467,0.422915,0.414912
0.894208,6,0.170213,0.046325,0.294258,0.002964,0.411445,0.775439
0.907172,7,0.723404,0.057344,0.371467,0.003762,0.357328,0.652193
0.473209,3,0.744681,0.043323,0.634781,0.002896,0.386846,0.428509
0.442857,6,0.638298,0.058695,0.51681,0.003899,0.479803,0.457895
0.030707,7,0.553191,0.083794,0.279827,0.003467,0.422915,0.414912
0.01792,4,0.085106,0.074727,0.312853,0.003467,0.422915,0.414912
0.469669,7,0.617021,0.046115,0.350045,0.003105,0.395391,0.50614
0.867882,5,0.255319,0.027951,0.372508,0.001039,0.445624,0.618421
0.877129,3,0.489362,0.041792,0.630616,0.002919,0.531072,0.236842
0.473475,2,0.851064,0.027651,0.428593,0.001876,0.392284,0.535526
0.8762,3,0.765957,0.028552,0.460428,0.001329,0.476696,0.664035
0.876775,2,0.191489,0.027831,0.246653,0.001778,0.271103,0.80614
0.004646,3,0.787234,0.179596,0.797977,0.003467,0.422915,0.414912
0.885403,2,0.12766,0.025099,0.152187,0.001091,0.259969,0.735526
0.469183,3,0.0,0.029723,0.359714,0.001967,0.314345,0.622368
0.43383,3,0.851064,0.045334,0.421452,0.003467,0.422915,0.414912
0.03137,1,0.361702,0.067371,0.553704,0.003467,0.422915,0.414912
0.000708,4,0.617021,0.044104,0.445552,0.003467,0.422915,0.414912
0.469183,3,0.319149,0.053351,0.497917,0.003527,0.518643,0.369298
0.468829,2,0.978723,0.029182,0.428444,0.001971,0.271103,0.440351
0.473784,2,0.361702,0.032275,0.597441,0.002146,0.517866,0.478947
0.872262,7,0.148936,0.023628,0.123029,0.000839,0.189539,0.841667
0.911641,4,0.276596,0.069473,0.470247,0.004634,0.632833,0.452193
0.875979,1,0.021277,0.029362,0.277447,0.001915,0.323925,0.548684
0.433609,5,0.723404,0.067491,0.420559,0.003467,0.422915,0.414912
0.425601,7,0.382979,0.075657,0.339185,0.003467,0.422915,0.414912
0.009336,4,0.021277,0.064789,0.578846,0.003467,0.422915,0.414912
0.889784,4,0.914894,0.033415,0.646087,0.002331,0.539617,0.391228
0.880802,3,0.489362,0.028492,0.431866,0.001878,0.46116,0.649561
0.026724,1,0.93617,0.05221,0.418328,0.003467,0.422915,0.414912
0.451484,6,0.06383,0.03897,0.492562,0.002619,0.516054,0.616228
0.425512,5,0.06383,0.071875,0.213032,0.003467,0.422915,0.414912
0.876289,5,0.914894,0.028432,0.441833,0.001487,0.449767,0.703509
0.876156,5,0.489362,0.102108,0.483338,0.006984,0.577421,0.374561
0.008672,3,0.382979,0.092771,0.698602,0.003467,0.422915,0.414912
0.000221,7,0.085106,0.046956,0.140732,0.003467,0.422915,0.414912
0.429185,5,0.468085,0.087937,0.605326,0.003467,0.422915,0.414912
0.455998,4,0.595745,0.042783,0.514133,0.002943,0.574055,0.291667
0.0,2,0.042553,0.051489,0.385004,0.003467,0.422915,0.414912
0.473342,6,0.787234,0.027531,0.408361,0.001884,0.364319,0.340351
0.008938,2,0.638298,0.090369,0.511009,0.003467,0.422915,0.414912
0.022964,6,0.851064,0.077819,0.328771,0.003467,0.422915,0.414912
0.008716,4,0.553191,0.078209,0.542101,0.003467,0.422915,0.414912
0.001018,4,0.234043,0.082473,0.273579,0.003467,0.422915,0.414912
0.898146,5,0.425532,0.097244,0.729545,0.006348,0.707664,0.580702
0.880757,2,0.446809,0.032335,0.344243,0.001658,0.238477,0.838158
0.42476,2,0.914894,0.062838,0.342606,0.003467,0.422915,0.414912
0.482412,3,0.319149,0.049748,0.448378,0.003471,0.430606,0.260965
0.876023,6,0.042553,0.027561,0.239215,0.001566,0.367426,0.725439
0.013185,1,0.87234,0.041582,0.570217,0.003467,0.422915,0.414912
0.438343,1,0.659574,0.077969,0.494793,0.003467,0.422915,0.414912
0.439051,3,0.404255,0.061727,0.524398,0.003467,0.422915,0.414912
0.030928,5,0.468085,0.098775,0.590152,0.003467,0.422915,0.414912
0.017964,5,0.553191,0.064639,0.47947,0.003467,0.422915,0.414912
0.022654,6,0.744681,0.077819,0.317019,0.003467,0.422915,0.414912
0.455953,3,0.361702,0.03891,0.604136,0.002692,0.650181,0.305263
0.881067,2,0.829787,0.038669,0.468015,0.002661,0.468151,0.352632
0.876244,4,0.06383,0.024739,0.207528,0.000841,0.348783,0.710088
0.47436,1,0.0,0.025099,0.158881,0.001674,0.197048,0.764474
0.014203,3,0.404255,0.040711,0.580482,0.003467,0.422915,0.414912
0.022875,4,0.702128,0.084814,0.454924,0.003467,0.422915,0.414912
0.433432,1,0.595745,0.0786,0.599375,0.003467,0.422915,0.414912
0.013539,2,0.893617,0.041431,0.494049,0.003467,0.422915,0.414912
0.889562,6,1.0,0.047106,0.544778,0.003193,0.461419,0.554825
0.890359,3,0.893617,0.074607,0.734008,0.005085,0.556706,0.49386
0.01323,2,0.234043,0.071965,0.292919,0.003467,0.422915,0.414912
0.903588,3,0.234043,0.038009,0.223594,0.002468,0.162092,0.759211
0.000531,7,0.893617,0.045214,0.352574,0.003467,0.422915,0.414912
0.876687,7,0.06383,0.02684,0.19399,0.001494,0.315898,0.701754
0.013097,6,0.893617,0.041582,0.39765,0.003467,0.422915,0.414912
0.881465,4,0.87234,0.027981,0.46385,0.001932,0.526152,0.440789
0.429539,6,0.617021,0.085565,0.404195,0.003467,0.422915,0.414912
0.474227,5,0.297872,0.024919,0.187147,0.001531,0.063956,0.897368
0.460953,5,0.425532,0.042572,0.580631,0.002941,0.474366,0.371491
0.451838,7,0.085106,0.040891,0.422196,0.002773,0.427758,0.608772
0.460334,5,0.744681,0.161643,0.563969,0.011219,0.616779,0.13114
0.881288,7,0.12766,0.029212,0.156204,0.001911,0.240808,0.623684
0.44706,4,0.680851,0.059145,0.586433,0.004117,0.583635,0.371053
0.030707,7,0.765957,0.089828,0.329664,0.003467,0.422915,0.414912
0.898943,2,0.361702,0.096223,0.617525,0.006385,0.666235,0.347807
0.907349,4,0.829787,0.062658,0.48438,0.004194,0.554635,0.437281
0.867263,5,0.829787,0.028131,0.397798,0.001874,0.292595,0.689035
0.456263,3,0.212766,0.029422,0.263612,0.001965,0.298291,0.741667
0.027167,4,0.680851,0.05215,0.435733,0.003467,0.422915,0.414912
0.47436,1,0.659574,0.02642,0.237132,0.001639,0.185137,0.824123
0.442945,1,0.723404,0.054702,0.489586,0.003673,0.328327,0.527193
0.424671,7,0.191489,0.055242,0.040613,0.003467,0.422915,0.414912
0.017964,5,0.042553,0.081002,0.452098,0.003467,0.422915,0.414912
0.898013,2,0.382979,0.084274,0.751562,0.005704,0.686173,0.455702
0.880669,7,0.06383,0.035757,0.209164,0.00226,0.284309,0.786404
0.872528,6,0.255319,0.037408,0.464594,0.002376,0.532885,0.702632
0.911907,3,0.06383,0.043863,0.243975,0.002914,0.399016,0.549561
0.451352,3,0.319149,0.038549,0.592532,0.002501,0.537804,0.714474
0.903588,3,0.510638,0.087426,0.552217,0.005731,0.468151,0.547368
0.89881,6,0.574468,0.079921,0.480214,0.005264,0.586743,0.492982
0.907836,1,0.148936,0.025129,0.090747,0.001643,0.171155,0.666228
0.902659,3,0.425532,0.093071,0.571854,0.006323,0.603573,0.334211
0.894518,6,0.148936,0.054371,0.291431,0.003336,0.423615,0.662719
0.465156,2,0.446809,0.059355,0.49881,0.004119,0.535733,0.116228
0.912172,2,0.446809,0.111835,0.543142,0.007752,0.552563,0.266228
0.434229,5,0.680851,0.059385,0.46385,0.003467,0.422915,0.414912
0.482412,3,0.893617,0.05296,0.377566,0.003687,0.412222,0.192982
0.45998,4,0.425532,0.048457,0.559952,0.003315,0.513465,0.285526
0.455467,6,0.617021,0.037258,0.499256,0.002522,0.554117,0.460526
0.902571,1,0.234043,0.031464,0.105475,0.002092,0.170378,0.582018
0.473563,4,0.680851,0.027741,0.485867,0.001847,0.58493,0.341667
0.452148,7,0.659574,0.033265,0.431717,0.002285,0.25738,0.483772
0.026415,1,0.851064,0.050498,0.385897,0.003467,0.422915,0.414912
0.461086,1,0.425532,0.030113,0.350788,0.002054,0.197566,0.498684
0.87589,3,0.255319,0.053711,0.438114,0.003442,0.535474,0.517982
0.907924,3,0.978723,0.083463,0.472925,0.005654,0.454169,0.384211
0.022433,1,0.808511,0.076468,0.484082,0.003467,0.422915,0.414912
0.438697,2,0.021277,0.055632,0.400774,0.003467,0.422915,0.414912
0.465599,5,0.297872,0.030833,0.461321,0.002144,0.469446,0.362719
0.45644,7,0.425532,0.032905,0.516215,0.002212,0.374676,0.525439
0.424539,4,0.042553,0.040351,0.114698,0.003467,0.422915,0.414912
0.473342,6,0.085106,0.033986,0.189676,0.002347,0.272139,0.355702
0.880669,7,0.93617,0.034646,0.288902,0.00198,0.236924,0.847807
0.456661,5,0.93617,0.033355,0.549539,0.002239,0.428276,0.689474
0.889297,7,0.978723,0.030353,0.40241,0.00199,0.416106,0.595614
0.898766,5,0.297872,0.051249,0.552217,0.003132,0.573796,0.535526
0.46551,3,0.808511,0.029843,0.448527,0.002052,0.399275,0.432018
0.451042,3,0.468085,0.043143,0.700833,0.002904,0.63102,0.40307
0.031813,4,0.808511,0.074817,0.224636,0.003467,0.422915,0.414912
0.469537,4,0.765957,0.032305,0.434097,0.002173,0.337131,0.535088
0.460245,3,0.06383,0.041161,0.399583,0.002833,0.432418,0.339035
0.017698,6,0.085106,0.071334,0.316424,0.003467,0.422915,0.414912
0.005398,6,0.87234,0.080911,0.504017,0.003467,0.422915,0.414912
0.004336,3,0.787234,0.043563,0.635228,0.003467,0.422915,0.414912
0.447458,6,0.659574,0.042452,0.522017,0.002927,0.501036,0.459649
0.005,4,0.276596,0.074817,0.500893,0.003467,0.422915,0.414912
0.451219,7,0.574468,0.040831,0.469949,0.002663,0.352149,0.740351
0.890226,7,0.829787,0.085715,0.647575,0.002075,0.531072,0.596053
0.434052,1,0.893617,0.045334,0.377864,0.003467,0.422915,0.414912
0.014114,1,0.617021,0.061217,0.452246,0.003467,0.422915,0.414912
0.469448,2,0.021277,0.02657,0.207676,0.00177,0.251165,0.496053
0.456307,4,0.212766,0.023898,0.255727,0.001595,0.288969,0.776316
0.018008,6,0.148936,0.064639,0.191758,0.003467,0.422915,0.414912
0.464404,6,0.468085,0.100667,0.515025,0.006824,0.506991,0.446491
0.026901,5,0.829787,0.082833,0.443916,0.003467,0.422915,0.414912
0.429273,7,0.170213,0.067551,0.094168,0.003467,0.422915,0.414912
0.456042,5,0.212766,0.031854,0.278935,0.002137,0.276541,0.718421
0.465422,1,0.765957,0.028822,0.351384,0.00194,0.267478,0.644737
0.447414,5,0.680851,0.047346,0.612913,0.003332,0.556447,0.279386
0.424937,6,0.170213,0.055242,0.078102,0.003467,0.422915,0.414912
0.026415,1,0.744681,0.09208,0.479173,0.003467,0.422915,0.414912
0.031857,5,0.191489,0.055242,0.045968,0.003467,0.422915,0.414912
0.455776,6,0.382979,0.042092,0.650699,0.002852,0.702745,0.427632
0.889916,7,0.085106,0.040381,0.410146,0.001992,0.458571,0.480702
0.468962,5,0.361702,0.054161,0.530497,0.003693,0.522527,0.299561
0.433875,4,0.744681,0.048787,0.463255,0.003467,0.422915,0.414912
0.880581,5,0.212766,0.032124,0.2169,0.001924,0.267737,0.853509
0.903146,7,1.0,0.089288,0.331151,0.006043,0.404972,0.384649
0.885271,6,0.382979,0.029693,0.56873,0.002038,0.552305,0.332895
0.460112,7,0.446809,0.027891,0.477983,0.001838,0.3203,0.587281
0.876643,6,0.851064,0.028462,0.451949,0.001907,0.432418,0.530263
0.01376,7,0.957447,0.045755,0.412675,0.003467,0.422915,0.414912
0.890138,5,0.723404,0.100937,0.845135,0.006988,0.789487,0.397807
0.907216,1,0.744681,0.062357,0.34335,0.004188,0.410668,0.501316
0.898323,2,0.638298,0.05239,0.512199,0.00345,0.57535,0.533333
0.894828,6,0.914894,0.059175,0.653823,0.002941,0.491973,0.552193
0.018141,2,0.659574,0.07932,0.508926,0.003467,0.422915,0.414912
0.018318,6,0.531915,0.054732,0.348408,0.003467,0.422915,0.414912
0.026769,2,0.87234,0.049478,0.351532,0.003467,0.422915,0.414912
0.004292,2,0.297872,0.043503,0.452246,0.003467,0.422915,0.414912
0.867661,7,0.425532,0.032214,0.442577,0.002079,0.529001,0.600877
0.894474,5,0.170213,0.060766,0.26391,0.002532,0.377007,0.59693
0.429981,2,0.446809,0.07959,0.579292,0.003467,0.422915,0.414912
0.455688,4,0.489362,0.043263,0.582416,0.002983,0.625583,0.455702
0.004557,1,0.617021,0.089498,0.373103,0.003467,0.422915,0.414912
0.434671,1,0.851064,0.053921,0.314639,0.003467,0.422915,0.414912
0.45175,5,0.978723,0.077579,0.659923,0.005191,0.545831,0.547807
0.030972,6,0.170213,0.070223,0.106813,0.003467,0.422915,0.414912
0.438078,2,0.382979,0.072235,0.51205,0.003467,0.422915,0.414912
0.90788,2,0.87234,0.037198,0.374442,0.002526,0.449508,0.324123
0.889961,1,0.893617,0.028942,0.499107,0.001878,0.404454,0.559649
